City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,hammerfest,70.6634,23.6821,277.4,60,100,7.72,NO,1728769684
312,klyuchi,52.2667,79.1667,267.41,86,56,3.07,RU,1728769906
313,ryugasaki,35.9,140.1833,291.04,77,12,2.03,JP,1728769908
314,castillos,-34.1667,-53.8333,285.58,69,98,2.03,UY,1728769909
315,nuku'alofa,-21.1333,-175.2,296.34,94,75,4.12,TO,1728769911
316,remire-montjoly,4.9167,-52.2667,302.17,74,0,4.12,GF,1728769912
317,bouar,5.934,15.596,292.14,94,100,0.4,CF,1728769913
318,conception bay south,47.4999,-52.9981,285.88,96,100,7.26,CA,1728769914
319,qaqortoq,60.7167,-46.0333,277.29,47,100,7.89,GL,1728769915
320,roxas,11.5853,122.7511,299.72,84,99,0.67,PH,1728769916
321,glace bay,46.1969,-59.957,284.4,88,75,6.69,CA,1728769918
322,puqi,29.7167,113.8833,293.56,53,95,1.84,CN,1728769919
323,susuman,62.7833,148.1667,266.84,97,100,0.74,RU,1728769921
324,kegen,43.0197,79.2203,276.68,86,100,1.96,KZ,1728769922
325,businga,3.3333,20.8833,293.7,99,100,0.3,CD,1728769923
326,uturoa,-16.7333,-151.4333,298.45,76,36,7.3,PF,1728769924
327,skovorodino,53.9833,123.9167,271.33,49,100,1.56,RU,1728769926
328,vila velha,-20.3297,-40.2925,301.45,71,0,1.34,BR,1728769927
329,darwin,-12.4611,130.8418,300.34,78,20,1.54,AU,1728769919
330,mount isa,-20.7333,139.5,292.02,94,100,3.6,AU,1728769930
331,xiaoshi,41.2971,124.1209,284.96,92,1,1.84,CN,1728769931
332,nacala,-14.5428,40.6728,295.61,92,0,0.74,MZ,1728769932
333,nemuro,43.3236,145.575,287.09,79,23,4.77,JP,1728769933
334,bikenibeu village,1.3673,173.1241,304.13,70,20,5.14,KI,1728769934
335,hotan,37.0997,79.9269,289.8,29,0,1.2,CN,1728769935
336,bure,10.7,37.0667,287.02,95,98,1.1,ET,1728769936
337,flying fish cove,-10.4217,105.6791,298.97,94,100,5.14,CX,1728769928
338,matthew town,20.95,-73.6667,302.5,73,58,4.16,BS,1728769938
339,atafu village,-8.5421,-172.5159,301.3,76,93,7.76,TK,1728769939
340,malanje,-9.5402,16.341,295.02,63,46,2.52,AO,1728769940
341,el granada,37.5027,-122.4694,297.05,74,75,4.63,US,1728769942
342,floro,61.5996,5.0328,282.13,71,100,6.17,NO,1728769943
343,ta`u,-14.2336,-169.5144,299.94,77,25,8.64,AS,1728769944
344,lata,40.1629,-8.3327,289.26,86,0,3.1,PT,1728769945
345,pachino,36.7186,15.0907,293.58,69,6,1.34,IT,1728769946
346,apatity,67.5641,33.4031,274.86,94,91,2.43,RU,1728769947
347,mekhe,15.1097,-16.6218,301.16,74,89,4.33,SN,1728769948
348,sault ste. marie,46.5168,-84.3333,285.31,58,0,2.57,CA,1728769784
349,tan-tan,28.438,-11.1032,295.56,76,100,2.28,MA,1728769952
350,princeville,45.7668,-61.2985,284.51,88,100,10.8,CA,1728769954
351,lazaro cardenas,17.9583,-102.2,301.77,74,33,3.6,MX,1728769955
352,dawei,14.0833,98.2,297.96,90,43,1.82,MM,1728769956
353,queenstown,-31.8976,26.8753,292.74,47,3,0.81,ZA,1728769957
354,upper grand lagoon,30.1633,-85.7408,300.96,39,0,1.79,US,1728769958
355,caconda,-13.7333,15.0667,289.96,49,14,1.21,AO,1728769959
356,olyokminsk,60.3736,120.4264,265.14,94,37,0.86,RU,1728769960
357,toliara,-23.35,43.6667,298.49,44,28,3.78,MG,1728769962
358,port hedland,-20.3167,118.5667,296.18,83,10,3.6,AU,1728769963
359,ilhabela,-23.7781,-45.3581,294.76,90,48,2.46,BR,1728769965
360,valencia,39.3333,-0.8333,290.6,75,90,1.93,ES,1728769966
361,port-vila,-17.7338,168.3219,297.93,78,40,5.14,VU,1728769967
362,malindi,-3.2175,40.1191,297.79,84,93,5.59,KE,1728769968
